Year,Local Government Area,Postcode,Suburb,Location Division,Property Item,Number of Items,Value of Items
2025,Yarra,3067,Abbotsford,Residential,Car Accessories,5,$100
2025,Yarra,3067,Abbotsford,Residential,Cash/Document,33,"$3,205"
2025,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,3,"$3,230"
2025,Yarra,3067,Abbotsford,Residential,Clothing,22,"$5,495"
2025,Yarra,3067,Abbotsford,Residential,Electrical Appliances,16,"$4,315"
2025,Yarra,3067,Abbotsford,Residential,Firearms/Ammunition,1,$0
2025,Yarra,3067,Abbotsford,Residential,Food,3,$400
2025,Yarra,3067,Abbotsford,Residential,Furniture,2,"$1,615"
2025,Yarra,3067,Abbotsford,Residential,Garden Items,2,$15
2025,Yarra,3067,Abbotsford,Residential,Household Items,4,$745
2025,Yarra,3067,Abbotsford,Residential,Jewellery,6,"$8,300"
2025,Yarra,3067,Abbotsford,Residential,Other,65,"$24,679"
2025,Yarra,3067,Abbotsford,Residential,Personal Property,47,"$5,752"
2025,Yarra,3067,Abbotsford,Residential,Photographic Equip,1,$225
2025,Yarra,3067,Abbotsford,Residential,Power Tools,10,"$30,388"
2025,Yarra,3067,Abbotsford,Residential,Sporting Goods,21,"$15,071"
2025,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,4,$500
2025,Yarra,3067,Abbotsford,Residential,Tools,7,"$6,445"
2025,Yarra,3067,Abbotsford,Residential,Tv/Vcr,1,$800
2024,Yarra,3067,Abbotsford,Residential,Car Accessories,9,"$1,300"
2024,Yarra,3067,Abbotsford,Residential,Cash/Document,38,"$901,675"
2024,Yarra,3067,Abbotsford,Residential,Clothing,15,"$10,554"
2024,Yarra,3067,Abbotsford,Residential,Domestic Pets,1,$150
2024,Yarra,3067,Abbotsford,Residential,Electrical Appliances,25,"$20,043"
2024,Yarra,3067,Abbotsford,Residential,Food,1,$126
2024,Yarra,3067,Abbotsford,Residential,Furniture,2,"$2,000"
2024,Yarra,3067,Abbotsford,Residential,Garden Items,2,$540
2024,Yarra,3067,Abbotsford,Residential,Household Items,8,"$1,566"
2024,Yarra,3067,Abbotsford,Residential,Jewellery,10,"$11,750"
2024,Yarra,3067,Abbotsford,Residential,Other,62,"$53,443"
2024,Yarra,3067,Abbotsford,Residential,Personal Property,39,"$34,202"
2024,Yarra,3067,Abbotsford,Residential,Photographic Equip,6,$800
2024,Yarra,3067,Abbotsford,Residential,Police Property,1,$0
2024,Yarra,3067,Abbotsford,Residential,Power Tools,17,"$13,208"
2024,Yarra,3067,Abbotsford,Residential,Sporting Goods,10,"$7,645"
2024,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,1,$0
2024,Yarra,3067,Abbotsford,Residential,Tools,18,"$4,755"
2023,Yarra,3067,Abbotsford,Residential,Car Accessories,8,$159
2023,Yarra,3067,Abbotsford,Residential,Cash/Document,37,"$27,825"
2023,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,2,$20
2023,Yarra,3067,Abbotsford,Residential,Clothing,16,"$41,819"
2023,Yarra,3067,Abbotsford,Residential,Electrical Appliances,27,"$12,621"
2023,Yarra,3067,Abbotsford,Residential,Food,2,$230
2023,Yarra,3067,Abbotsford,Residential,Household Items,5,"$14,950"
2023,Yarra,3067,Abbotsford,Residential,Jewellery,15,"$21,555"
2023,Yarra,3067,Abbotsford,Residential,Other,44,"$20,626"
2023,Yarra,3067,Abbotsford,Residential,Personal Property,40,"$26,500"
2023,Yarra,3067,Abbotsford,Residential,Photographic Equip,1,$799
2023,Yarra,3067,Abbotsford,Residential,Power Tools,11,"$3,275"
2023,Yarra,3067,Abbotsford,Residential,Sporting Goods,6,"$4,831"
2023,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,2,$550
2023,Yarra,3067,Abbotsford,Residential,Tools,16,"$14,855"
2023,Yarra,3067,Abbotsford,Residential,Tv/Vcr,4,"$4,000"
2022,Yarra,3067,Abbotsford,Residential,Car Accessories,3,$0
2022,Yarra,3067,Abbotsford,Residential,Cash/Document,36,"$2,104"
2022,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,13,$660
2022,Yarra,3067,Abbotsford,Residential,Clothing,20,"$2,634"
2022,Yarra,3067,Abbotsford,Residential,Electrical Appliances,23,"$4,795"
2022,Yarra,3067,Abbotsford,Residential,Food,11,"$1,508"
2022,Yarra,3067,Abbotsford,Residential,Furniture,2,$400
2022,Yarra,3067,Abbotsford,Residential,Garden Items,3,$60
2022,Yarra,3067,Abbotsford,Residential,Household Items,5,"$2,030"
2022,Yarra,3067,Abbotsford,Residential,Jewellery,5,"$21,464"
2022,Yarra,3067,Abbotsford,Residential,Marine Property,1,"$6,000"
2022,Yarra,3067,Abbotsford,Residential,Other,42,"$24,932"
2022,Yarra,3067,Abbotsford,Residential,Personal Property,44,"$8,172"
2022,Yarra,3067,Abbotsford,Residential,Police Property,1,$500
2022,Yarra,3067,Abbotsford,Residential,Power Tools,4,"$1,300"
2022,Yarra,3067,Abbotsford,Residential,Sporting Goods,10,"$3,874"
2022,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,1,$0
2022,Yarra,3067,Abbotsford,Residential,Tools,3,$200
2022,Yarra,3067,Abbotsford,Residential,Tv/Vcr,3,$900
2021,Yarra,3067,Abbotsford,Residential,Car Accessories,12,$255
2021,Yarra,3067,Abbotsford,Residential,Cash/Document,40,"$59,221"
2021,Yarra,3067,Abbotsford,Residential,Clothing,11,"$2,625"
2021,Yarra,3067,Abbotsford,Residential,Electrical Appliances,29,"$15,535"
2021,Yarra,3067,Abbotsford,Residential,Food,3,$390
2021,Yarra,3067,Abbotsford,Residential,Household Items,9,"$1,769"
2021,Yarra,3067,Abbotsford,Residential,Jewellery,6,"$27,150"
2021,Yarra,3067,Abbotsford,Residential,Other,42,"$26,609"
2021,Yarra,3067,Abbotsford,Residential,Personal Property,34,"$6,998"
2021,Yarra,3067,Abbotsford,Residential,Photographic Equip,2,"$20,000"
2021,Yarra,3067,Abbotsford,Residential,Police Property,8,$0
2021,Yarra,3067,Abbotsford,Residential,Power Tools,12,"$4,630"
2021,Yarra,3067,Abbotsford,Residential,Sporting Goods,20,"$2,100"
2021,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,2,$375
2021,Yarra,3067,Abbotsford,Residential,Tools,9,"$13,360"
2021,Yarra,3067,Abbotsford,Residential,Tv/Vcr,2,"$1,000"
2021,Yarra,3067,Abbotsford,Residential,Weapons,1,$259
2020,Yarra,3067,Abbotsford,Residential,Car Accessories,11,"$20,230"
2020,Yarra,3067,Abbotsford,Residential,Cash/Document,60,"$3,790"
2020,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,2,$908
2020,Yarra,3067,Abbotsford,Residential,Clothing,20,"$7,340"
2020,Yarra,3067,Abbotsford,Residential,Domestic Pets,1,$250
2020,Yarra,3067,Abbotsford,Residential,Electrical Appliances,23,"$8,082"
2020,Yarra,3067,Abbotsford,Residential,Food,4,$242
2020,Yarra,3067,Abbotsford,Residential,Furniture,1,$300
2020,Yarra,3067,Abbotsford,Residential,Garden Items,1,$50
2020,Yarra,3067,Abbotsford,Residential,Household Items,5,$160
2020,Yarra,3067,Abbotsford,Residential,Jewellery,12,"$10,519"
2020,Yarra,3067,Abbotsford,Residential,Other,57,"$23,476"
2020,Yarra,3067,Abbotsford,Residential,Personal Property,57,"$16,598"
2020,Yarra,3067,Abbotsford,Residential,Photographic Equip,3,"$1,899"
2020,Yarra,3067,Abbotsford,Residential,Power Tools,21,"$20,130"
2020,Yarra,3067,Abbotsford,Residential,Sporting Goods,15,"$3,220"
2020,Yarra,3067,Abbotsford,Residential,Tools,16,"$23,169"
2020,Yarra,3067,Abbotsford,Residential,Tv/Vcr,3,$0
2019,Yarra,3067,Abbotsford,Residential,Car Accessories,9,$300
2019,Yarra,3067,Abbotsford,Residential,Cash/Document,62,"$1,858"
2019,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,6,$620
2019,Yarra,3067,Abbotsford,Residential,Clothing,33,"$15,642"
2019,Yarra,3067,Abbotsford,Residential,Electrical Appliances,42,"$28,478"
2019,Yarra,3067,Abbotsford,Residential,Food,3,$110
2019,Yarra,3067,Abbotsford,Residential,Furniture,1,$600
2019,Yarra,3067,Abbotsford,Residential,Household Items,4,"$1,847"
2019,Yarra,3067,Abbotsford,Residential,Jewellery,12,"$11,850"
2019,Yarra,3067,Abbotsford,Residential,Other,73,"$45,803"
2019,Yarra,3067,Abbotsford,Residential,Personal Property,46,"$5,645"
2019,Yarra,3067,Abbotsford,Residential,Photographic Equip,4,"$7,014"
2019,Yarra,3067,Abbotsford,Residential,Power Tools,12,"$2,280"
2019,Yarra,3067,Abbotsford,Residential,Sporting Goods,18,"$4,030"
2019,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,2,$50
2019,Yarra,3067,Abbotsford,Residential,Tools,16,"$3,170"
2019,Yarra,3067,Abbotsford,Residential,Tv/Vcr,2,"$1,850"
2018,Yarra,3067,Abbotsford,Residential,Car Accessories,5,$80
2018,Yarra,3067,Abbotsford,Residential,Cash/Document,69,"$22,920"
2018,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,4,"$1,680"
2018,Yarra,3067,Abbotsford,Residential,Clothing,23,"$20,475"
2018,Yarra,3067,Abbotsford,Residential,Electrical Appliances,34,"$22,650"
2018,Yarra,3067,Abbotsford,Residential,Furniture,1,$500
2018,Yarra,3067,Abbotsford,Residential,Garden Items,6,$139
2018,Yarra,3067,Abbotsford,Residential,Household Items,12,"$25,870"
2018,Yarra,3067,Abbotsford,Residential,Jewellery,21,"$33,530"
2018,Yarra,3067,Abbotsford,Residential,Other,46,"$22,270"
2018,Yarra,3067,Abbotsford,Residential,Personal Property,50,"$25,820"
2018,Yarra,3067,Abbotsford,Residential,Photographic Equip,10,"$5,900"
2018,Yarra,3067,Abbotsford,Residential,Power Tools,11,$250
2018,Yarra,3067,Abbotsford,Residential,Sporting Goods,25,"$6,939"
2018,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,1,$20
2018,Yarra,3067,Abbotsford,Residential,Tools,7,"$35,700"
2018,Yarra,3067,Abbotsford,Residential,Tv/Vcr,9,"$6,340"
2017,Yarra,3067,Abbotsford,Residential,Car Accessories,14,"$8,430"
2017,Yarra,3067,Abbotsford,Residential,Cash/Document,72,"$4,522"
2017,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,5,"$1,165"
2017,Yarra,3067,Abbotsford,Residential,Clothing,16,"$14,760"
2017,Yarra,3067,Abbotsford,Residential,Electrical Appliances,51,"$53,310"
2017,Yarra,3067,Abbotsford,Residential,Furniture,3,$500
2017,Yarra,3067,Abbotsford,Residential,Garden Items,3,$280
2017,Yarra,3067,Abbotsford,Residential,Household Items,5,$380
2017,Yarra,3067,Abbotsford,Residential,Jewellery,35,"$32,150"
2017,Yarra,3067,Abbotsford,Residential,Other,63,"$41,055"
2017,Yarra,3067,Abbotsford,Residential,Personal Property,70,"$18,385"
2017,Yarra,3067,Abbotsford,Residential,Photographic Equip,22,"$24,506"
2017,Yarra,3067,Abbotsford,Residential,Power Tools,7,"$3,400"
2017,Yarra,3067,Abbotsford,Residential,Sporting Goods,20,"$6,040"
2017,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,2,"$2,787"
2017,Yarra,3067,Abbotsford,Residential,Tools,7,"$2,000"
2017,Yarra,3067,Abbotsford,Residential,Tv/Vcr,5,$799
2017,Yarra,3067,Abbotsford,Residential,Weapons,1,$20
2016,Yarra,3067,Abbotsford,Residential,Car Accessories,8,"$1,808"
2016,Yarra,3067,Abbotsford,Residential,Cash/Document,54,"$3,530"
2016,Yarra,3067,Abbotsford,Residential,Cigarettes/Liquor,5,$380
2016,Yarra,3067,Abbotsford,Residential,Clothing,21,"$7,815"
2016,Yarra,3067,Abbotsford,Residential,Electrical Appliances,67,"$54,638"
2016,Yarra,3067,Abbotsford,Residential,Food,1,$80
2016,Yarra,3067,Abbotsford,Residential,Furniture,1,$200
2016,Yarra,3067,Abbotsford,Residential,Garden Items,1,$0
2016,Yarra,3067,Abbotsford,Residential,Household Items,6,$430
2016,Yarra,3067,Abbotsford,Residential,Jewellery,44,"$89,695"
2016,Yarra,3067,Abbotsford,Residential,Other,50,"$17,168"
2016,Yarra,3067,Abbotsford,Residential,Personal Property,85,"$30,790"
2016,Yarra,3067,Abbotsford,Residential,Photographic Equip,28,"$8,729"
2016,Yarra,3067,Abbotsford,Residential,Power Tools,25,"$10,549"
2016,Yarra,3067,Abbotsford,Residential,Sporting Goods,45,"$12,270"
2016,Yarra,3067,Abbotsford,Residential,Timber/Build Mat,2,$10
2016,Yarra,3067,Abbotsford,Residential,Tools,22,"$12,703"
2016,Yarra,3067,Abbotsford,Residential,Tv/Vcr,5,"$10,000"
2016,Yarra,3067,Abbotsford,Residential,Weapons,1,$200
